Name,Origin,Type,Unique Feature,Friendly Rating (1-10),Life Span,Size,Grooming Needs,Exercise Requirements (hrs/day),Good with Children,Intelligence Rating (1-10),Shedding Level,Health Issues Risk,Average Weight (kg),Training Difficulty (1-10)
brabancon_griffon,Belgium,Toy,Human-like expression,7,13,Small,High,1.5,Yes,8,Moderate,Moderate,4,7
bull_terrier,England,Terrier,Egg-shaped head,7,12,Medium,Low,2.0,With Training,7,Low,Moderate,27,7
bull_mastiff,England,Working,Powerful guardian,6,9,Large,Low,1.5,With Training,6,Moderate,High,52,7
cairn,Scotland,Terrier,Weather-resistant coat,8,14,Small,Moderate,1.5,Yes,7,Moderate,Low,7,6
canaan_dog,Israel,Herding,Desert-adapted,6,13,Medium,Low,2.0,With Training,8,Moderate,Low,21,8
cane_corso,Italy,Working,Ancient Roman guardian,6,11,Large,Low,2.0,With Training,7,Low,Moderate,45,9
cardigan,Wales,Herding,Long tail unlike Pembroke,8,13,Small,Moderate,2.0,Yes,8,High,Moderate,13,6
blenheim_spaniel,UK,Toy,Ruby colored coat,10,11,Small,Moderate,1.0,Yes,6,Moderate,High,6,4
chesapeake_bay_retriever,USA,Sporting,Waterproof coat,7,11,Large,Moderate,2.5,Yes,7,Moderate,Low,30,7
chihuahua,Mexico,Toy,Smallest dog breed,6,16,Small,Low,1.0,No,7,Low,Moderate,2,7
chinese_crested,China,Toy,Hairless variety,7,14,Small,High,1.0,Yes,8,Low,Low,3,6
chinese_shar-pei,China,Non-Sporting,Wrinkled skin,6,10,Medium,Low,1.5,With Training,6,Moderate,High,22,8
chow,China,Non-Sporting,Blue-black tongue,5,10,Medium,High,1.5,No,5,High,High,26,9
clumber,England,Sporting,Massive head,7,11,Medium,Moderate,1.5,Yes,6,High,Moderate,31,6
cocker_spaniel,England,Sporting,Long ears,9,13,Small-Medium,High,1.5,Yes,7,High,Moderate,12,5
collie,Scotland,Herding,Lassie fame,9,13,Medium,High,2.0,Yes,8,High,Moderate,24,5
curly-coated_retriever,England,Sporting,Curly water-resistant coat,7,12,Large,Moderate,2.0,Yes,7,Low,Low,32,6
dachshund,Germany,Hound,Long body short legs,7,14,Small,Low,1.5,With Training,7,Moderate,High,10,7
dalmatian,Croatia,Non-Sporting,Spotted coat,8,12,Medium,Low,2.5,Yes,7,Moderate,High,24,7
dandie_dinmont,Scotland,Terrier,Distinctive topknot,7,13,Small,Moderate,1.5,Yes,7,Low,Low,8,7
doberman,Germany,Working,Sleek appearance,8,11,Large,Low,2.5,With Training,9,Low,Moderate,35,7
english_bulldog,England,Non-Sporting,Pushed-in nose,7,9,Medium,Low,1.0,Yes,6,Moderate,High,20,7
english_cocker_spaniel,England,Sporting,Merry temperament,8,12,Medium,High,1.5,Yes,7,Moderate,Moderate,14,5
english_foxhound,England,Hound,Pack hunting ability,7,12,Medium,Low,2.5,Yes,6,Moderate,Low,29,7
english_setter,England,Sporting,Speckled coat,8,12,Medium,High,2.0,Yes,7,Moderate,Moderate,26,6
english_springer,England,Sporting,Dual-purpose hunter,9,13,Medium,High,2.0,Yes,7,Moderate,Moderate,20,6
english_toy_spaniel,England,Toy,Domed head,8,11,Small,High,1.0,Yes,7,Moderate,Moderate,5,6
entlebucher,Switzerland,Herding,Tri-colored markings,7,12,Medium,Low,2.5,Yes,8,Moderate,Low,27,7
field_spaniel,England,Sporting,Noble appearance,7,12,Medium,High,2.0,Yes,7,Moderate,Low,18,6
finnish_lapphund,Finland,Herding,Thick double coat,8,12,Medium,High,2.0,Yes,7,High,Low,20,6
finnish_spitz,Finland,Non-Sporting,Fox-like appearance,7,13,Medium,Moderate,2.0,Yes,8,Moderate,Low,15,7
flat-coated_retriever,England,Sporting,Shiny black coat,9,11,Large,Moderate,2.5,Yes,8,Moderate,Moderate,32,5
french_bulldog,France,Non-Sporting,Bat ears,8,11,Small,Low,1.0,Yes,7,Low,High,11,6
german_pinscher,Germany,Working,Elegant appearance,7,13,Medium,Low,2.0,With Training,8,Moderate,Low,13,7
german_shepherd,Germany,Herding,Police dog fame,8,11,Large,Moderate,2.5,With Training,9,High,Moderate,31,6
german_short-haired_pointer,Germany,Sporting,Versatile hunter,8,13,Large,Low,2.5,Yes,8,Moderate,Low,26,6
german_wirehaired_pointer,Germany,Sporting,Weather resistant coat,7,13,Large,Moderate,2.5,Yes,8,Moderate,Low,27,7
giant_schnauzer,Germany,Working,Beard and eyebrows,7,13,Large,High,2.0,With Training,8,Low,Moderate,38,8
golden_retriever,Scotland,Sporting,Golden coat,10,11,Large,High,2.0,Yes,8,High,Moderate,29,4
gordon_setter,Scotland,Sporting,Black and tan coat,8,11,Large,High,2.0,Yes,7,Moderate,Moderate,26,6
great_dane,Germany,Working,Giant size,8,8,Giant,Low,2.0,Yes,6,Moderate,High,67,6
great_pyrenees,France,Working,White guardian,7,11,Large,High,1.5,Yes,6,High,Moderate,46,8
greater_swiss_mountain_dog,Switzerland,Working,Tri-colored markings,8,10,Large,Low,2.0,Yes,7,Moderate,Moderate,61,7
greyhound,Egypt,Hound,Fastest dog breed,7,11,Large,Low,2.0,Yes,7,Low,Low,33,6
harrier,England,Hound,Pack hunting ability,8,12,Medium,Low,2.0,Yes,6,Moderate,Low,25,6
havanese,Cuba,Toy,Silky coat,9,14,Small,High,1.5,Yes,8,Low,Low,5,5
ibizan_hound,Spain,Hound,Large ears,7,13,Medium,Low,2.0,Yes,7,Low,Low,22,7
icelandic_sheepdog,Iceland,Herding,Spitz-type tail,8,12,Medium,Moderate,2.0,Yes,7,Moderate,Low,14,6
irish_red_and_white_setter,Ireland,Sporting,Red and white coat,8,12,Large,High,2.5,Yes,7,Moderate,Moderate,27,6
irish_setter,Ireland,Sporting,Rich red coat,8,13,Large,High,2.5,Yes,7,High,Moderate,29,6
irish_terrier,Ireland,Terrier,Fiery red coat,7,13,Medium,Moderate,1.5,Yes,7,Low,Low,11,7
irish_water_spaniel,Ireland,Sporting,Curly coat,8,11,Large,High,2.0,Yes,7,Low,Low,24,6
irish_wolfhound,Ireland,Hound,Tallest dog breed,7,7,Giant,Moderate,2.0,Yes,6,Moderate,High,54,6
italian_greyhound,Italy,Toy,Miniature sight hound,7,13,Small,Low,1.5,No,7,Low,Moderate,4,7
japanese_spaniel,Japan,Toy,Eastern expression,7,11,Small,Moderate,1.0,Yes,7,Moderate,Low,3,6
japanese_spitz,Japan,Non-Sporting,Snow-white coat,8,13,Small,High,1.5,Yes,8,High,Low,6,6
keeshond,Netherlands,Non-Sporting,Spectacles marking,8,13,Medium,High,1.5,Yes,8,High,Low,16,6
kerry_blue_terrier,Ireland,Terrier,Blue coat,7,13,Medium,High,1.5,Yes,7,Low,Low,16,7
komondor,Hungary,Working,Corded coat,6,11,Large,Very High,2.0,With Training,6,Low,Low,40,8
kuvasz,Hungary,Working,White guardian,6,11,Large,Moderate,2.0,With Training,7,Moderate,Moderate,42,8
labrador_retriever,Canada,Sporting,Water-resistant coat,10,11,Large,Moderate,2.0,Yes,8,High,Moderate,30,4
lakeland_terrier,England,Terrier,Square build,7,13,Small,Moderate,1.5,Yes,7,Low,Low,7,7
leonberg,Germany,Working,Lion-like mane,8,9,Giant,High,2.0,Yes,7,High,High,61,8
lhasa,Tibet,Non-Sporting,Floor-length coat,6,13,Small,Very High,1.0,No,7,Low,Low,6,8
lowchen,France,Non-Sporting,Lion cut,8,14,Small,High,1.5,Yes,8,Low,Low,6,6
maltese_dog,Malta,Toy,Pure white coat,8,13,Small,Very High,1.0,No,7,Low,Low,2.5,6
manchester_terrier,England,Terrier,Sleek and athletic,7,15,Small-Medium,Low,1.5,With Training,8,Moderate,Low,7,7
mastiff,England,Working,Massive size,6,9,Giant,Low,1.5,Yes,6,Moderate,High,78,7
miniature_pinscher,Germany,Toy,Fearless nature,6,13,Small,Low,1.5,No,7,Low,Low,4,8
miniature_schnauzer,Germany,Standard,Small but sturdy,8,12,Small,High,1.5,Yes,8,Moderate,Low,8,6
neapolitan_mastiff,Italy,Working,Wrinkly loose skin,6,8,Large,Moderate,1.0,Yes,5,Moderate,High,70,8
newfoundland,Canada,Working,Water rescue ability,9,9,Giant,High,2.0,Yes,7,Moderate,Moderate,61,7
norfolk_terrier,England,Terrier,Bat-like ears,8,14,Small,Low,1.5,Yes,7,Low,Low,5,6
norwegian_buhund,Norway,Herding,Spitz-type appearance,8,12,Medium,Moderate,2.0,Yes,7,Moderate,Low,12,6
norwegian_elkhound,Norway,Hound,Gray coat,7,12,Medium,Moderate,2.0,Yes,7,Moderate,Moderate,23,7
norwegian_lundehund,Norway,Non-Sporting,Unique extra toes,7,12,Small,High,2.0,Yes,7,Moderate,High,8,7
old_english_sheepdog,England,Herding,Fluffy appearance,8,10,Large,Very High,2.0,Yes,6,High,Moderate,32,6
otterhound,England,Hound,Rough-coated,7,10,Large,Very High,2.5,Yes,6,High,Moderate,37,7
papillon,France,Toy,Butterfly-shaped ears,9,13,Small,Moderate,1.0,Yes,8,Low,Low,3,5
pekinese,China,Toy,Lion-like appearance,6,12,Small,Very High,1.0,With Training,5,Moderate,High,5,7
pembroke,Wales,Herding,Short legs long body,9,12,Small,Moderate,2.0,Yes,8,Moderate,Moderate,12,5
petit_basset_griffon_vendeen,France,Hound,Low-to-the-ground,7,12,Small,High,2.0,Yes,6,High,Moderate,15,7
pharaoh_hound,Malta,Hound,Regal appearance,7,12,Medium,Moderate,2.0,Yes,8,Moderate,Low,20,7
pointer,England,Sporting,Distinctive stance,8,12,Medium,Moderate,2.5,Yes,7,Moderate,Moderate,25,6
pomeranian,Germany,Toy,Fluffy double coat,8,12,Small,High,1.0,Yes,7,High,Moderate,3,7
miniature_poodle,France,Non-Sporting,Curly hypoallergenic coat,8,15,Small,Very High,1.5,Yes,8,Low,Low,7,6
standard_poodle,France,Non-Sporting,Curly coat,9,12,Large,Very High,2.0,Yes,8,Moderate,Moderate,22,5
toy_poodle,France,Toy,Compact poodle,9,15,Toy,Very High,1.0,Yes,8,Low,Low,4,5
portuguese_podengo,Portugal,Hound,Perky ears,7,12,Medium,Moderate,2.0,Yes,8,Moderate,Low,15,8
portuguese_water_dog,Portugal,Sporting,Curly weatherproof coat,8,11,Medium,High,2.0,Yes,8,Moderate,Moderate,18,6
pudelpointer,Germany,Sporting,Versatile hunting,7,12,Medium,Moderate,2.5,Yes,8,Moderate,Low,23,7
pug,China,Toy,Wrinkled face,8,12,Small,Moderate,1.0,Yes,7,Moderate,High,7,6
pyrenean_mountain_dog,France,Working,Guard dog,7,10,Giant,High,2.0,Yes,6,High,High,54,7
rat_terrier,USA,Terrier,Athletic agile,7,15,Small-Medium,Low,2.0,Yes,7,Moderate,Moderate,5,7
redbone,USA,Hound,Redish coat,8,12,Medium,Moderate,2.0,Yes,6,Moderate,Low,25,7
rhodesian_ridgeback,Africa,Hound,Ridge of fur on back,6,11,Large,Moderate,2.5,With Training,8,Moderate,Moderate,36,7
rottweiler,Germany,Working,Powerful guarding,7,9,Large,Moderate,2.0,With Training,8,High,High,40,8
saint_bernard,Switzerland,Working,Large size,9,8,Giant,High,2.0,Yes,6,High,Moderate,68,7
saluki,Middle East,Hound,Slender elegant,6,12,Medium,Moderate,2.5,No,7,Moderate,Moderate,22,7
samoyed,Siberia,Working,Fluffy white coat,9,12,Medium,High,2.0,Yes,7,High,Moderate,21,7
schipperke,Belgium,Non-Sporting,Tailless appearance,7,13,Small,Moderate,2.0,No,7,Moderate,Moderate,7,7
scottish_deerhound,Scotland,Hound,Greyhound-like,6,8,Large,Moderate,2.0,Yes,6,Moderate,Moderate,41,7
scotch_terrier,Scotland,Terrier,Sturdy low-set,7,12,Small,Moderate,1.5,Yes,6,Moderate,High,9,7
shetland_sheepdog,Scotland,Herding,Miniature Collie,9,12,Medium,High,2.0,Yes,8,High,Moderate,11,5
shiba_inu,Japan,Non-Sporting,Fox-like expression,7,13,Small,Moderate,2.0,No,7,Moderate,Moderate,9,7
shih-tzu,China,Toy,Long flowing coat,8,14,Small,Very High,1.0,Yes,6,Moderate,Moderate,4,7
siberian_husky,Siberia,Working,Piercing eyes,8,12,Medium,Moderate,2.5,Yes,7,Moderate,Moderate,21,7
silky_terrier,Australia,Terrier,Silky blue coat,7,13,Small,High,1.5,Yes,7,Moderate,Low,4,7
skye_terrier,Scotland,Terrier,Long low body,7,13,Small,Moderate,1.5,No,6,Moderate,Moderate,8,7
sloughi,North Africa,Hound,Powerful hunter,6,12,Medium,Low,2.5,With Training,7,Low,Moderate,18,7
smooth_fox_terrier,England,Terrier,Energetic,7,13,Small,Low,2.0,Yes,7,Moderate,Moderate,7,7
soft-coated_wheaten_terrier,Ireland,Terrier,Soft wavy coat,8,12,Medium,High,2.0,Yes,7,Moderate,Moderate,12,6
spanish_water_dog,Spain,Sporting,Curly waterproof coat,7,12,Medium,Very High,2.0,Yes,8,Moderate,Moderate,15,6
spinone_italiano,Italy,Sporting,Shaggy coat,7,12,Large,High,2.0,Yes,7,Moderate,Moderate,32,7
staffordshire_bullterrier,England,Terrier,Muscular strength,7,12,Medium,Low,2.0,Yes,7,Moderate,High,16,7
standard_poodle,France,Non-Sporting,Intelligent,9,12,Large,Very High,2.0,Yes,8,Moderate,Moderate,26,5
standard_schnauzer,Germany,Standard,Distinct beard,7,15,Medium,High,2.0,Yes,7,Moderate,Moderate,14,6
sussex_spaniel,England,Sporting,Low-set body,7,11,Medium,High,1.5,Yes,6,Moderate,Moderate,18,6
swedish_vallhund,Sweden,Herding,Corgi-like,8,12,Medium,Moderate,2.0,Yes,8,Moderate,Low,12,7
thai_ridgeback,Thailand,Hound,Ridge of fur on back,6,12,Medium,Moderate,2.0,With Training,7,Moderate,Moderate,15,7
tibetan_mastiff,Tibet,Working,Imposing appearance,7,10,Large,High,2.0,With Training,6,Moderate,Moderate,45,8
toy_fox_terrier,USA,Toy,Miniature Fox Terrier,8,15,Toy,Moderate,1.5,Yes,8,Low,Low,2,7
walker_hound,USA,Hound,Tracking ability,8,12,Medium,Moderate,2.0,Yes,7,Moderate,Moderate,20,7
welsh_springer_spaniel,Wales,Sporting,Compact build,8,13,Medium,High,2.0,Yes,7,Moderate,Moderate,16,6
welsh_terrier,Wales,Terrier,Distinctive eyebrows,7,14,Medium,Moderate,1.5,Yes,7,Moderate,Moderate,9,7
west_highland_white_terrier,Scotland,Terrier,White coat,8,13,Small,Moderate,1.5,Yes,7,Moderate,Moderate,7,7
whippet,England,Hound,Miniature Greyhound,7,13,Medium,Low,2.0,Yes,8,Low,Low,8,6
wire-haired_fox_terrier,England,Terrier,Energetic,7,14,Small,Moderate,2.0,Yes,7,Moderate,Moderate,8,7
wirehaired_dachshund,Germany,Hound,Wiry coat,7,13,Small,Moderate,1.5,With Training,7,Moderate,High,8,7
wirehaired_pointing_griffon,Netherlands,Sporting,Shaggy beard,7,13,Medium,High,2.0,Yes,7,Moderate,Moderate,20,6
mexican_hairless,Mexico,Non-Sporting,Hairless variety,7,15,Small-Large,Low,2.0,With Training,8,Low,Moderate,25-Jul,6
yorkshire_terrier,England,Toy,Long silky coat,8,13,Toy,High,1.0,Yes,7,Moderate,Moderate,2.5,6
